label	text
POSITIVE	Utility of Silane-Modified Magnesium-Based Magnetic Nanoparticles for Efficient Immobilization of Bacillus thermoamylovorans Lipase.
NEGATIVE	This work presents a study on purified Bacillus thermoamylovorans lipase (BTL) by utilizing tetraethoxysilane (TEOS)-modified magnesium nano ferrite (MgNF) of 20 nm size.
POSITIVE	The qualitative synthesis found four probiotics that exhibited potential therapeutic effects in oral carcinogenesis, includingAcetobacter syzygii, AJ2, Lactobacillus plantarum,  and Lactobacillus salivarius REN.
NEGATIVE	Among them, the application of L. salivarius REN resulted in a 95 % lower risk for developing oral cancer (p < 0.05).
NEGATIVE	Registration of BOD using Paracoccus yeei bacteria isolated from activated sludge.
NEGATIVE	This work investigated the properties of Paracoccus yeei VKM B-3302 bacteria isolated from activated sludge and immobilized in an N-vinylpyrrolidone-modified  poly(vinyl alcohol) matrix.
POSITIVE	A new ratio of the components for the synthesis selected in this work enabled producing a copolymer of an earlier undescribed chemical structure, which can be efficiently used for immobilization  of highly sensitive P. yeei bacteria.
NEGATIVE	Bacteriophage Protects Against Aerococcus viridans Infection in a Murine Mastitis Model.
NEGATIVE	There is growing evidence that Aerococcus viridans (A. viridans) is becoming an important cause of bovine mastitis.
NEGATIVE	The object of this study was  to evaluate the potential of a previously isolated A. viridans phage vB_AviM_AVP  (AVP) as an anti-mastitis agent in an experimental A. viridans-induced murine mastitis model.
NEGATIVE	A. viridans N14 was isolated from the milk of clinical bovine mastitis and used to establish a mastitis model in mice.
NEGATIVE	We demonstrated that administration of phage AVP significantly reduced colony formation by A. viridans and alleviated damage to breast tissue.
NEGATIVE	To the best of our knowledge, this report is the first to show the potential use of phages as a treatment for A. viridans-induced mastitis.
NEGATIVE	Based on 16S rRNA gene sequence similarity, its closest relatives were Corynebacterium flavescens and Corynebacterium argatoratense (96.50 % similarity each), suggesting that this isolate represents a novel species.
NEGATIVE	Decontamination evaluations were conducted in a house using both Bacillus atrophaeus var.
NEGATIVE	Shigella sero-grouping revealed that 0.5%, 0.3%, 1.9%, and 0.5% were infected with Shigella boydii, Shigella dysentriae, Shigella flexneri and Shigella sonnei pure  isolates.
NEGATIVE	Shigella species and E. coli co-infection was detected in 2.4% of the children, specifically, 1.1% for EAEC/Shigella boydii, 0.5% for EAEC/Shigella dysentriae and 0.3% in each case of EAEC/Shigella sonnei, EPEC/Shigella flexneri  and ETEC/Shigella flexneri co-infections.
NEGATIVE	The selected cultures DB-1aa,  DB-b2-15b, Cu2-PM7, Cu3-PM8 and IB-pM15 were identified by 16S rDNA sequencing as Enterococcus durans, Enterococcus faecium, Lactobacillus plantarum, and two Lactobacillus fermentum, respectively.
NEGATIVE	nov. and Bacillus massiliogabonensis sp.
NEGATIVE	Bacillus dakarensis strain Marseille-P3515T (=CSURP3515), Bacillus sinesaloumensis strain Marseille-P3516T (=CSURP3516), and Bacillus massiliogabonensis strain Marseille-P2639T (=CSURP2639) were isolated from human stool samples.
NEGATIVE	Molecular characterization of a multidrug-resistant/pandrug-resistant nosocomial  polymicrobial infection with Klebsiella pneumoniae, Providencia rettgeri, and Acinetobacter baumannii from Rural Maharashtra, India.
NEGATIVE	The organisms isolated from the tracheal aspirates and urine included Klebsiella pneumoniae, pandrug-resistant Providencia rettgeri, and Acinetobacter baumannii.
NEGATIVE	Molecular characterization revealed presence of blaTEM-1 in K.  pneumonaie, P. rettgeri and A. baumannii.
NEGATIVE	The blaTEM-1 and blaNDM-1 genes were present in P. rettgeri and A. baumannii, whereas the blaTEM-1, blaNDM-1 and blaOXA-23 traits were present in A. baumannii isolates.
NEGATIVE	Staphylococcus lentus Sinusitis: A New Sinonasal Pathogen.
NEGATIVE	This  case report illustrates a case of chronic rhinosinusitis associated with the Staphylococcus lentus organism, a well-known animal pathogen that has never been  documented in the sinonasal cavity before.
NEGATIVE	He was taken to the operating room for functional endoscopic  sinus surgery and cultures were obtained, which returned positive for Staphylococcus lentus.
NEGATIVE	CONCLUSIONS: Staphylococcus lentus has never before been reported as a human pathogen in the sinonasal cavities.
NEGATIVE	Purification, Characterization, Identification, and Anticancer Activity of a Circular Bacteriocin From Enterococcus thailandicus.
POSITIVE	The most potent bacteriocin producing strain was molecularly identified as Enterococcus thailandicus.
NEGATIVE	[Epub ahead of print]  Spontaneous Rupture of Transplant Renal Artery and External Iliac Artery Caused by Corynebacterium striatum.
NEGATIVE	The genomic island shared the greatest similarity with a part of the Blautia coccoides genome sequence, except for the region surrounding the vanD gene cluster.
NEGATIVE	The AHL-lactonase gene homologue, ahlS, was present in the  genomes of the CNS strains Staphylococcus carnosus, Staphylococcus haemolyticus,  Staphylococcus saprophyticus, and Staphylococcus sciuri.
